wl,n,wl,k
0.3444,0.47332,0.3444,3.27476
0.34925,0.49866,0.34925,3.30888
0.35424,0.50669,0.35424,3.35511
0.35937,0.52896,0.35937,3.40291
0.36466,0.53878,0.36466,3.4337
0.3701,0.56026,0.3701,3.4805
0.37571,0.5697,0.37571,3.51063
0.38149,0.57238,0.38149,3.58157
0.38745,0.58851,0.38745,3.65327
0.3936,0.60855,0.3936,3.69734
0.39995,0.63038,0.39995,3.72792
0.40651,0.64527,0.40651,3.79689
0.41328,0.65983,0.41328,3.86463
0.42029,0.67409,0.42029,3.93121
0.42753,0.68807,0.42753,3.99668
0.43503,0.71373,0.43503,4.06318
0.4428,0.73874,0.4428,4.12865
0.45085,0.76315,0.45085,4.19314
0.4592,0.787,0.4592,4.25668
0.46786,0.82149,0.46786,4.32144
0.47686,0.84413,0.47686,4.38321
0.48621,0.87714,0.48621,4.44628
0.49594,0.90938,0.49594,4.50855
0.50606,0.94091,0.50606,4.57004
0.5166,0.97131,0.5166,4.68438
0.52759,1.00133,0.52759,4.7437
0.53906,1.03008,0.53906,4.85397
0.55104,1.05808,0.55104,4.96181
0.56356,1.09481,0.56356,5.06938
0.57667,1.1314,0.57667,5.12641
0.5904,1.1662,0.5904,5.23068
0.6048,1.19016,0.6048,5.37741
0.61992,1.23314,0.61992,5.43329
0.63582,1.26422,0.63582,5.57658
0.65255,1.30407,0.65255,5.67456
0.67018,1.34164,0.67018,5.81378
0.6888,1.39555,0.6888,5.91165
0.70848,1.44648,0.70848,6.04916
0.72932,1.49588,0.72932,6.18366
0.75142,1.5737,0.75142,6.3227
0.7749,1.66134,0.7749,6.50077
0.7999,1.77582,0.7999,6.64481
0.82656,1.86983,0.82656,6.81882
0.85506,1.97631,0.85506,6.95743
0.8856,2.05685,0.8856,7.12254
0.9184,2.13143,0.9184,7.24865
0.95372,2.16086,0.95372,7.4276
0.99187,2.18402,0.99187,7.60065
1.0332,2.19287,1.0332,7.79799
1.07812,2.19247,1.07812,8.05028
1.12713,2.19219,1.12713,8.325
1.1808,2.21278,1.1808,8.65427
1.23984,2.22061,1.23984,9.05158
1.3051,2.25471,1.3051,9.49124
1.3776,2.30088,1.3776,10.03962
1.45864,2.34655,1.45864,10.65393
1.5498,2.40614,1.5498,11.3044
1.65312,2.51787,1.65312,12.01414
1.7712,2.69499,1.7712,12.8943
