wl,n,wl,k
0.017586,0.8718,0.017586,0.1182
0.017712,0.8709,0.017712,0.12
0.017839,0.8699,0.017839,0.1213
0.017969,0.8695,0.017969,0.1225
0.0181,0.8685,0.0181,0.1238
0.018233,0.8675,0.018233,0.1251
0.018368,0.8661,0.018368,0.127
0.018505,0.8651,0.018505,0.1283
0.018644,0.8636,0.018644,0.1297
0.018785,0.8621,0.018785,0.1311
0.018929,0.8606,0.018929,0.1325
0.019074,0.8591,0.019074,0.1344
0.019222,0.857,0.019222,0.1359
0.019373,0.855,0.019373,0.138
0.019525,0.8523,0.019525,0.1396
0.01968,0.8503,0.01968,0.1417
0.019837,0.8473,0.019837,0.1446
0.019997,0.8441,0.019997,0.1469
0.02016,0.8411,0.02016,0.1498
0.020325,0.8376,0.020325,0.1534
0.020493,0.8341,0.020493,0.1571
0.020664,0.8302,0.020664,0.162
0.020838,0.8258,0.020838,0.1671
0.021014,0.8215,0.021014,0.1729
0.021194,0.8171,0.021194,0.1805
0.021377,0.8128,0.021377,0.1889
0.021562,0.8091,0.021562,0.199
0.021752,0.8061,0.021752,0.2115
0.021944,0.8049,0.021944,0.2255
0.02214,0.8071,0.02214,0.2416
0.022339,0.813,0.022339,0.2589
0.022543,0.8241,0.022543,0.276
0.022749,0.8408,0.022749,0.2896
0.02296,0.8623,0.02296,0.2975
0.023175,0.8844,0.023175,0.2968
0.023393,0.9034,0.023393,0.2884
0.023616,0.915,0.023616,0.2743
0.023843,0.9182,0.023843,0.2592
0.024075,0.9124,0.024075,0.246
0.024311,0.8974,0.024311,0.2396
0.024551,0.8681,0.024551,0.2482
0.024797,0.8233,0.024797,0.3298
0.025047,1.0933,0.025047,0.3787
0.025303,1.0283,0.025303,0.2057
0.025564,0.9782,0.025564,0.184
0.02583,0.9517,0.02583,0.1781
0.026102,0.9333,0.026102,0.1763
0.02638,0.9187,0.02638,0.1763
0.026663,0.9068,0.026663,0.177
0.026953,0.896,0.026953,0.1786
0.027249,0.8858,0.027249,0.1806
0.027552,0.8762,0.027552,0.1837
0.027862,0.8677,0.027862,0.1867
0.028178,0.8588,0.028178,0.191
0.028502,0.8504,0.028502,0.1952
0.028834,0.8427,0.028834,0.2005
0.029173,0.8346,0.029173,0.2061
0.02952,0.8272,0.02952,0.2128
0.029876,0.82,0.029876,0.2201
0.03024,0.8136,0.03024,0.228
0.030613,0.8086,0.030613,0.2362
0.030996,0.8044,0.030996,0.2449
0.031388,0.8006,0.031388,0.2529
0.031791,0.7979,0.031791,0.2601
0.032204,0.7954,0.032204,0.2659
0.032627,0.7913,0.032627,0.2704
0.033062,0.7858,0.033062,0.2749
0.033509,0.7787,0.033509,0.28
0.033968,0.7698,0.033968,0.2858
0.03444,0.7603,0.03444,0.2933
0.034925,0.7504,0.034925,0.3018
0.035424,0.7393,0.035424,0.3124
0.035937,0.7283,0.035937,0.3247
0.036466,0.7174,0.036466,0.3387
0.03701,0.7068,0.03701,0.3544
0.037571,0.6958,0.037571,0.373
0.038149,0.6853,0.038149,0.3933
0.038745,0.6766,0.038745,0.4168
0.03936,0.6689,0.03936,0.4432
0.039995,0.6642,0.039995,0.4735
0.040651,0.664,0.040651,0.5068
0.041328,0.6706,0.041328,0.5428
0.042029,0.6866,0.042029,0.5782
0.042753,0.7135,0.042753,0.6075
0.043503,0.7468,0.043503,0.6227
0.04428,0.777,0.04428,0.621
0.045085,0.7921,0.045085,0.6078
0.04592,0.7903,0.04592,0.5947
0.046786,0.7764,0.046786,0.5906
0.047686,0.7571,0.047686,0.5977
0.048621,0.738,0.048621,0.6145
0.049594,0.7206,0.049594,0.639
0.050606,0.7069,0.050606,0.6698
0.05166,0.6965,0.05166,0.7057
0.052759,0.6903,0.052759,0.746
0.053906,0.6889,0.053906,0.7903
0.055104,0.6925,0.055104,0.8382
0.056356,0.7025,0.056356,0.8897
0.057667,0.7197,0.057667,0.9434
0.05904,0.7457,0.05904,0.999
0.06048,0.7829,0.06048,1.055
0.061992,0.8332,0.061992,1.1078
0.063582,0.8981,0.063582,1.1518
0.065255,0.9756,0.065255,1.1793
0.067018,1.0582,0.067018,1.1827
0.06888,1.132,0.06888,1.1586
0.070848,1.1831,0.070848,1.1153
0.072932,1.2052,0.072932,1.0675
0.075142,1.2027,0.075142,1.0293
0.07749,1.1851,0.07749,1.0087
0.07999,1.1619,0.07999,1.0065
0.082656,1.1398,0.082656,1.0208
0.085506,1.1224,0.085506,1.0478
0.08856,1.1124,0.08856,1.0842
0.09184,1.11,0.09184,1.1275
0.095372,1.1157,0.095372,1.1751
0.099187,1.1288,0.099187,1.2252
0.10332,1.149,0.10332,1.2764
0.107812,1.1754,0.107812,1.328
0.112713,1.2072,0.112713,1.3792
0.11808,1.2427,0.11808,1.4315
0.123984,1.2857,0.123984,1.4953
0.13051,1.371,0.13051,1.5237
0.13776,1.4624,0.13776,1.5785
0.145864,1.4746,0.145864,1.5004
0.15498,1.4658,0.15498,1.522
0.165312,1.459,0.165312,1.5459
0.17712,1.433,0.17712,1.5768
0.190745,1.3774,0.190745,1.6288
0.20664,1.2876,0.20664,1.7257
0.225426,1.1748,0.225426,1.9066
0.247968,1.1058,0.247968,2.2174
0.261019,1.1449,0.261019,2.3998
0.27552,1.2192,0.27552,2.5123
0.291728,1.1883,0.291728,2.6012
0.30996,1.1505,0.30996,2.8379
0.330625,1.304,0.330625,3.1046
0.354241,1.5367,0.354241,3.0624
0.38149,1.2882,0.38149,2.908
0.413281,0.8675,0.413281,3.2129
0.450852,0.6273,0.450852,3.7605
0.495937,0.5124,0.495937,4.3965
0.551041,0.4643,0.551041,5.121
0.619921,0.4611,0.619921,5.9757
0.708481,0.5013,0.708481,7.0273
0.826561,0.5979,0.826561,8.3824
0.991874,0.787,0.991874,10.2266
1.239842,1.1594,1.239842,12.9215
1.653123,1.9756,1.653123,17.2802
2.479684,4.2255,2.479684,25.5617
