wl,n
0.31,2.175939468
0.3619,2.124452685
0.4139,2.093455467
0.4658,2.073192134
0.5178,2.059047227
0.5697,2.048735101
0.6216,2.040907103
0.6736,2.034760644
0.7255,2.029817391
0.7775,2.025726482
0.8294,2.022277889
0.8813,2.019304773
0.9333,2.016688521
0.9852,2.014355373
1.037,2.012241232
1.089,2.010286676
1.141,2.008463174
1.193,2.00674172
1.245,2.005099347
1.297,2.003517675
1.349,2.001981845
1.401,2.000479738
1.453,1.999001385
1.505,1.997538521
1.557,1.996084244
1.609,1.994632753
1.66,1.99320714
1.712,1.991747381
1.764,1.990277807
1.816,1.988795329
1.868,1.987297276
1.92,1.985781324
1.972,1.984245445
2.024,1.982687854
2.076,1.981106982
2.128,1.979501434
2.18,1.977869974
2.232,1.976211493
2.284,1.974524997
2.336,1.972809592
2.388,1.971064467
2.44,1.969288885
2.491,1.967517215
2.543,1.965679374
2.595,1.963809231
2.647,1.96190626
2.699,1.959969976
2.751,1.957999924
2.803,1.955995679
2.855,1.953956843
2.907,1.951883039
2.959,1.949773912
3.011,1.947629122
3.063,1.945448348
3.115,1.943231278
3.167,1.940977616
3.219,1.938687075
3.271,1.936359376
3.323,1.933994251
3.374,1.931638
3.426,1.92919797
3.478,1.926719745
3.53,1.924203079
3.582,1.921647728
3.634,1.91905345
3.686,1.916420006
3.738,1.913747161
3.79,1.911034679
3.842,1.908282326
3.894,1.905489867
3.946,1.902657069
3.998,1.899783698
4.05,1.896869519
4.102,1.893914297
4.154,1.890917794
4.206,1.887879774
4.257,1.884859617
4.309,1.881738648
4.361,1.87857544
4.413,1.875369746
4.465,1.872121317
4.517,1.8688299
4.569,1.865495241
4.621,1.862117081
4.673,1.858695158
4.725,1.855229207
4.777,1.851718958
4.829,1.848164137
4.881,1.844564468
4.933,1.840919667
4.985,1.837229448
5.037,1.83349352
5.088,1.829784752
5.14,1.825957406
5.192,1.822083451
5.244,1.818162578
5.296,1.814194466
5.348,1.810178794
5.4,1.806115232
5.452,1.802003444
5.504,1.797843088
